q,ticker,company_name
"Tesla, Inc.의 칩/하드웨어 로드맵을 요약해 줘.",TSLA,"Tesla, Inc."
"Cisco Systems, Inc.의 ESG 항목에서 강조한 이슈는?",CSCO,"Cisco Systems, Inc."
"Cisco Systems, Inc.의 매출을 부문별로 설명해 줘.",CSCO,"Cisco Systems, Inc."
"Cisco Systems, Inc.의 현금흐름 추세와 의미를 설명해 줘.",CSCO,"Cisco Systems, Inc."
"Cisco Systems, Inc.의 사이버보안·데이터 프라이버시 리스크를 언급한 내용은?",CSCO,"Cisco Systems, Inc."
"Cisco Systems, Inc.의 AI / 머신러닝 인프라 투자 계획은?",CSCO,"Cisco Systems, Inc."
"Advanced Micro Devices, Inc.의 현금흐름 추세와 의미를 설명해 줘.",AMD,"Advanced Micro Devices, Inc."
"Advanced Micro Devices, Inc.의 매출을 부문별로 설명해 줘.",AMD,"Advanced Micro Devices, Inc."
"Advanced Micro Devices, Inc.의 주주환원 정책 주요 사항은?",AMD,"Advanced Micro Devices, Inc."
"Advanced Micro Devices, Inc.의 칩/하드웨어 로드맵을 요약해 줘.",AMD,"Advanced Micro Devices, Inc."
"Advanced Micro Devices, Inc.의 사이버보안·데이터 프라이버시 리스크를 언급한 내용은?",AMD,"Advanced Micro Devices, Inc."
"ServiceNow, Inc.의 주주환원 정책 주요 사항은?",NOW,"ServiceNow, Inc."
"ServiceNow, Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",NOW,"ServiceNow, Inc."
"ServiceNow, Inc.의 매출을 부문별로 설명해 줘.",NOW,"ServiceNow, Inc."
"ServiceNow, Inc.의 AI / 머신러닝 인프라 투자 계획은?",NOW,"ServiceNow, Inc."
"ServiceNow, Inc.의 클라우드 서비스 매출 규모와 성장률은?",NOW,"ServiceNow, Inc."
Palantir Technologies Inc.의 ESG 항목에서 강조한 이슈는?,PLTR,Palantir Technologies Inc.
Palantir Technologies Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,PLTR,Palantir Technologies Inc.
Palantir Technologies Inc.의 매출을 부문별로 설명해 줘.,PLTR,Palantir Technologies Inc.
Palantir Technologies Inc.의 클라우드 서비스 매출 규모와 성장률은?,PLTR,Palantir Technologies Inc.
Palantir Technologies Inc.의 AI / 머신러닝 인프라 투자 계획은?,PLTR,Palantir Technologies Inc.
International Business Machines Corporation의 현금흐름 추세와 의미를 설명해 줘.,IBM,International Business Machines Corporation
International Business Machines Corporation의 10-K 주요 리스크 3가지를 요약해 줘.,IBM,International Business Machines Corporation
International Business Machines Corporation의 ESG 항목에서 강조한 이슈는?,IBM,International Business Machines Corporation
International Business Machines Corporation의 칩/하드웨어 로드맵을 요약해 줘.,IBM,International Business Machines Corporation
International Business Machines Corporation의 클라우드 서비스 매출 규모와 성장률은?,IBM,International Business Machines Corporation
Broadcom Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,AVGO,Broadcom Inc.
Broadcom Inc.의 ESG 항목에서 강조한 이슈는?,AVGO,Broadcom Inc.
Broadcom Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.,AVGO,Broadcom Inc.
Broadcom Inc.의 칩/하드웨어 로드맵을 요약해 줘.,AVGO,Broadcom Inc.
Broadcom Inc.의 AI / 머신러닝 인프라 투자 계획은?,AVGO,Broadcom Inc.
Texas Instruments Incorporated의 주주환원 정책 주요 사항은?,TXN,Texas Instruments Incorporated
Texas Instruments Incorporated의 지배구조·이사회 구성과 변화 사항을 알려줘.,TXN,Texas Instruments Incorporated
Texas Instruments Incorporated의 비용 구조와 전년 대비 변동 요인을 알려줘.,TXN,Texas Instruments Incorporated
Texas Instruments Incorporated의 사이버보안·데이터 프라이버시 리스크를 언급한 내용은?,TXN,Texas Instruments Incorporated
Texas Instruments Incorporated의 클라우드 서비스 매출 규모와 성장률은?,TXN,Texas Instruments Incorporated
QUALCOMM Incorporated의 비용 구조와 전년 대비 변동 요인을 알려줘.,QCOM,QUALCOMM Incorporated
QUALCOMM Incorporated의 현금흐름 추세와 의미를 설명해 줘.,QCOM,QUALCOMM Incorporated
QUALCOMM Incorporated의 지배구조·이사회 구성과 변화 사항을 알려줘.,QCOM,QUALCOMM Incorporated
QUALCOMM Incorporated의 칩/하드웨어 로드맵을 요약해 줘.,QCOM,QUALCOMM Incorporated
QUALCOMM Incorporated의 클라우드 서비스 매출 규모와 성장률은?,QCOM,QUALCOMM Incorporated
Intuit Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.,INTU,Intuit Inc.
Intuit Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,INTU,Intuit Inc.
Intuit Inc.의 매출을 부문별로 설명해 줘.,INTU,Intuit Inc.
Intuit Inc.의 클라우드 서비스 매출 규모와 성장률은?,INTU,Intuit Inc.
Intuit Inc.의 AI / 머신러닝 인프라 투자 계획은?,INTU,Intuit Inc.
"PayPal Holdings, Inc.의 ESG 항목에서 강조한 이슈는?",PYPL,"PayPal Holdings, Inc."
"PayPal Holdings, Inc.의 10-K 주요 리스크 3가지를 요약해 줘.",PYPL,"PayPal Holdings, Inc."
"PayPal Holdings, Inc.의 현금흐름 추세와 의미를 설명해 줘.",PYPL,"PayPal Holdings, Inc."
"PayPal Holdings, Inc.의 칩/하드웨어 로드맵을 요약해 줘.",PYPL,"PayPal Holdings, Inc."
"PayPal Holdings, Inc.의 AI / 머신러닝 인프라 투자 계획은?",PYPL,"PayPal Holdings, Inc."
Accenture plc의 비용 구조와 전년 대비 변동 요인을 알려줘.,ACN,Accenture plc
Accenture plc의 주주환원 정책 주요 사항은?,ACN,Accenture plc
Accenture plc의 10-K 주요 리스크 3가지를 요약해 줘.,ACN,Accenture plc
Accenture plc의 클라우드 서비스 매출 규모와 성장률은?,ACN,Accenture plc
Accenture plc의 구독·SaaS 매출 비중과 고객 유지율은?,ACN,Accenture plc
JPMorgan Chase & Co.의 현금흐름 추세와 의미를 설명해 줘.,JPM,JPMorgan Chase & Co.
JPMorgan Chase & Co.의 지배구조·이사회 구성과 변화 사항을 알려줘.,JPM,JPMorgan Chase & Co.
JPMorgan Chase & Co.의 ESG 항목에서 강조한 이슈는?,JPM,JPMorgan Chase & Co.
JPMorgan Chase & Co.의 Tier 1 자본비율과 규제 자본 요건은?,JPM,JPMorgan Chase & Co.
JPMorgan Chase & Co.의 대손충당금 변동과 신용포트폴리오 질은?,JPM,JPMorgan Chase & Co.
Bank of America Corporation의 비용 구조와 전년 대비 변동 요인을 알려줘.,BAC,Bank of America Corporation
Bank of America Corporation의 ESG 항목에서 강조한 이슈는?,BAC,Bank of America Corporation
Bank of America Corporation의 주주환원 정책 주요 사항은?,BAC,Bank of America Corporation
Bank of America Corporation의 디지털·핀테크 전략 핵심 프로젝트는?,BAC,Bank of America Corporation
Bank of America Corporation의 대손충당금 변동과 신용포트폴리오 질은?,BAC,Bank of America Corporation
Wells Fargo & Company의 지배구조·이사회 구성과 변화 사항을 알려줘.,WFC,Wells Fargo & Company
Wells Fargo & Company의 주주환원 정책 주요 사항은?,WFC,Wells Fargo & Company
Wells Fargo & Company의 현금흐름 추세와 의미를 설명해 줘.,WFC,Wells Fargo & Company
Wells Fargo & Company의 디지털·핀테크 전략 핵심 프로젝트는?,WFC,Wells Fargo & Company
Wells Fargo & Company의 자산관리/운용 수수료 수익 구조를 설명해 줘.,WFC,Wells Fargo & Company
C의 10-K 주요 리스크 3가지를 요약해 줘.,C,C
C의 비용 구조와 전년 대비 변동 요인을 알려줘.,C,C
C의 지배구조·이사회 구성과 변화 사항을 알려줘.,C,C
C의 디지털·핀테크 전략 핵심 프로젝트는?,C,C
C의 자산관리/운용 수수료 수익 구조를 설명해 줘.,C,C
"The Goldman Sachs Group, Inc.의 매출을 부문별로 설명해 줘.",GS,"The Goldman Sachs Group, Inc."
"The Goldman Sachs Group, Inc.의 ESG 항목에서 강조한 이슈는?",GS,"The Goldman Sachs Group, Inc."
"The Goldman Sachs Group, Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.",GS,"The Goldman Sachs Group, Inc."
"The Goldman Sachs Group, Inc.의 Tier 1 자본비율과 규제 자본 요건은?",GS,"The Goldman Sachs Group, Inc."
"The Goldman Sachs Group, Inc.의 디지털·핀테크 전략 핵심 프로젝트는?",GS,"The Goldman Sachs Group, Inc."
The Bank of New York Mellon Corporation의 ESG 항목에서 강조한 이슈는?,BK,The Bank of New York Mellon Corporation
The Bank of New York Mellon Corporation의 지배구조·이사회 구성과 변화 사항을 알려줘.,BK,The Bank of New York Mellon Corporation
The Bank of New York Mellon Corporation의 현금흐름 추세와 의미를 설명해 줘.,BK,The Bank of New York Mellon Corporation
The Bank of New York Mellon Corporation의 디지털·핀테크 전략 핵심 프로젝트는?,BK,The Bank of New York Mellon Corporation
The Bank of New York Mellon Corporation의 순이자마진(NIM) 추세와 이자율 영향은?,BK,The Bank of New York Mellon Corporation
U.S. Bancorp의 현금흐름 추세와 의미를 설명해 줘.,USB,U.S. Bancorp
U.S. Bancorp의 ESG 항목에서 강조한 이슈는?,USB,U.S. Bancorp
U.S. Bancorp의 주주환원 정책 주요 사항은?,USB,U.S. Bancorp
U.S. Bancorp의 자산관리/운용 수수료 수익 구조를 설명해 줘.,USB,U.S. Bancorp
U.S. Bancorp의 대손충당금 변동과 신용포트폴리오 질은?,USB,U.S. Bancorp
The Charles Schwab Corporation의 주주환원 정책 주요 사항은?,SCHW,The Charles Schwab Corporation
The Charles Schwab Corporation의 매출을 부문별로 설명해 줘.,SCHW,The Charles Schwab Corporation
The Charles Schwab Corporation의 지배구조·이사회 구성과 변화 사항을 알려줘.,SCHW,The Charles Schwab Corporation
The Charles Schwab Corporation의 디지털·핀테크 전략 핵심 프로젝트는?,SCHW,The Charles Schwab Corporation
The Charles Schwab Corporation의 대손충당금 변동과 신용포트폴리오 질은?,SCHW,The Charles Schwab Corporation
American Express Company의 ESG 항목에서 강조한 이슈는?,AXP,American Express Company
American Express Company의 지배구조·이사회 구성과 변화 사항을 알려줘.,AXP,American Express Company
American Express Company의 10-K 주요 리스크 3가지를 요약해 줘.,AXP,American Express Company
American Express Company의 순이자마진(NIM) 추세와 이자율 영향은?,AXP,American Express Company
American Express Company의 대손충당금 변동과 신용포트폴리오 질은?,AXP,American Express Company
Capital One Financial Corporation의 현금흐름 추세와 의미를 설명해 줘.,COF,Capital One Financial Corporation
Capital One Financial Corporation의 비용 구조와 전년 대비 변동 요인을 알려줘.,COF,Capital One Financial Corporation
Capital One Financial Corporation의 ESG 항목에서 강조한 이슈는?,COF,Capital One Financial Corporation
Capital One Financial Corporation의 순이자마진(NIM) 추세와 이자율 영향은?,COF,Capital One Financial Corporation
Capital One Financial Corporation의 대손충당금 변동과 신용포트폴리오 질은?,COF,Capital One Financial Corporation
"BlackRock, Inc.의 주주환원 정책 주요 사항은?",BLK,"BlackRock, Inc."
"BlackRock, Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",BLK,"BlackRock, Inc."
"BlackRock, Inc.의 ESG 항목에서 강조한 이슈는?",BLK,"BlackRock, Inc."
"BlackRock, Inc.의 순이자마진(NIM) 추세와 이자율 영향은?",BLK,"BlackRock, Inc."
"BlackRock, Inc.의 대손충당금 변동과 신용포트폴리오 질은?",BLK,"BlackRock, Inc."
"American International Group, Inc.의 ESG 항목에서 강조한 이슈는?",AIG,"American International Group, Inc."
"American International Group, Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.",AIG,"American International Group, Inc."
"American International Group, Inc.의 주주환원 정책 주요 사항은?",AIG,"American International Group, Inc."
"American International Group, Inc.의 디지털·핀테크 전략 핵심 프로젝트는?",AIG,"American International Group, Inc."
"American International Group, Inc.의 Tier 1 자본비율과 규제 자본 요건은?",AIG,"American International Group, Inc."
"MetLife, Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",MET,"MetLife, Inc."
"MetLife, Inc.의 10-K 주요 리스크 3가지를 요약해 줘.",MET,"MetLife, Inc."
"MetLife, Inc.의 ESG 항목에서 강조한 이슈는?",MET,"MetLife, Inc."
"MetLife, Inc.의 디지털·핀테크 전략 핵심 프로젝트는?",MET,"MetLife, Inc."
"MetLife, Inc.의 순이자마진(NIM) 추세와 이자율 영향은?",MET,"MetLife, Inc."
MS의 주주환원 정책 주요 사항은?,MS,MS
MS의 10-K 주요 리스크 3가지를 요약해 줘.,MS,MS
MS의 현금흐름 추세와 의미를 설명해 줘.,MS,MS
MS의 순이자마진(NIM) 추세와 이자율 영향은?,MS,MS
MS의 디지털·핀테크 전략 핵심 프로젝트는?,MS,MS
UnitedHealth Group Incorporated의 10-K 주요 리스크 3가지를 요약해 줘.,UNH,UnitedHealth Group Incorporated
UnitedHealth Group Incorporated의 ESG 항목에서 강조한 이슈는?,UNH,UnitedHealth Group Incorporated
UnitedHealth Group Incorporated의 비용 구조와 전년 대비 변동 요인을 알려줘.,UNH,UnitedHealth Group Incorporated
UnitedHealth Group Incorporated의 파이프라인(임상 단계·적응증)을 정리해 줘.,UNH,UnitedHealth Group Incorporated
UnitedHealth Group Incorporated의 FDA 승인/보완요구 신약 일정은?,UNH,UnitedHealth Group Incorporated
Johnson & Johnson의 주주환원 정책 주요 사항은?,JNJ,Johnson & Johnson
Johnson & Johnson의 매출을 부문별로 설명해 줘.,JNJ,Johnson & Johnson
Johnson & Johnson의 지배구조·이사회 구성과 변화 사항을 알려줘.,JNJ,Johnson & Johnson
Johnson & Johnson의 특허 만료(LOE) 리스크와 대응 전략은?,JNJ,Johnson & Johnson
Johnson & Johnson의 파이프라인(임상 단계·적응증)을 정리해 줘.,JNJ,Johnson & Johnson
Pfizer Inc.의 ESG 항목에서 강조한 이슈는?,PFE,Pfizer Inc.
Pfizer Inc.의 주주환원 정책 주요 사항은?,PFE,Pfizer Inc.
Pfizer Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.,PFE,Pfizer Inc.
Pfizer Inc.의 FDA 승인/보완요구 신약 일정은?,PFE,Pfizer Inc.
Pfizer Inc.의 특허 만료(LOE) 리스크와 대응 전략은?,PFE,Pfizer Inc.
AbbVie Inc.의 주주환원 정책 주요 사항은?,ABBV,AbbVie Inc.
AbbVie Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.,ABBV,AbbVie Inc.
AbbVie Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,ABBV,AbbVie Inc.
AbbVie Inc.의 의료기기·진단 부문 성과를 요약해 줘.,ABBV,AbbVie Inc.
AbbVie Inc.의 특허 만료(LOE) 리스크와 대응 전략은?,ABBV,AbbVie Inc.
"Merck & Co., Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",MRK,"Merck & Co., Inc."
"Merck & Co., Inc.의 주주환원 정책 주요 사항은?",MRK,"Merck & Co., Inc."
"Merck & Co., Inc.의 ESG 항목에서 강조한 이슈는?",MRK,"Merck & Co., Inc."
"Merck & Co., Inc.의 R&D 지출 규모와 매출 대비 비중은?",MRK,"Merck & Co., Inc."
"Merck & Co., Inc.의 특허 만료(LOE) 리스크와 대응 전략은?",MRK,"Merck & Co., Inc."
Thermo Fisher Scientific Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.,TMO,Thermo Fisher Scientific Inc.
Thermo Fisher Scientific Inc.의 ESG 항목에서 강조한 이슈는?,TMO,Thermo Fisher Scientific Inc.
Thermo Fisher Scientific Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,TMO,Thermo Fisher Scientific Inc.
Thermo Fisher Scientific Inc.의 특허 만료(LOE) 리스크와 대응 전략은?,TMO,Thermo Fisher Scientific Inc.
Thermo Fisher Scientific Inc.의 의료기기·진단 부문 성과를 요약해 줘.,TMO,Thermo Fisher Scientific Inc.
Abbott Laboratories의 매출을 부문별로 설명해 줘.,ABT,Abbott Laboratories
Abbott Laboratories의 비용 구조와 전년 대비 변동 요인을 알려줘.,ABT,Abbott Laboratories
Abbott Laboratories의 지배구조·이사회 구성과 변화 사항을 알려줘.,ABT,Abbott Laboratories
Abbott Laboratories의 파이프라인(임상 단계·적응증)을 정리해 줘.,ABT,Abbott Laboratories
Abbott Laboratories의 R&D 지출 규모와 매출 대비 비중은?,ABT,Abbott Laboratories
Danaher Corporation의 매출을 부문별로 설명해 줘.,DHR,Danaher Corporation
Danaher Corporation의 주주환원 정책 주요 사항은?,DHR,Danaher Corporation
Danaher Corporation의 지배구조·이사회 구성과 변화 사항을 알려줘.,DHR,Danaher Corporation
Danaher Corporation의 FDA 승인/보완요구 신약 일정은?,DHR,Danaher Corporation
Danaher Corporation의 의료기기·진단 부문 성과를 요약해 줘.,DHR,Danaher Corporation
Bristol-Myers Squibb Company의 매출을 부문별로 설명해 줘.,BMY,Bristol-Myers Squibb Company
Bristol-Myers Squibb Company의 ESG 항목에서 강조한 이슈는?,BMY,Bristol-Myers Squibb Company
Bristol-Myers Squibb Company의 지배구조·이사회 구성과 변화 사항을 알려줘.,BMY,Bristol-Myers Squibb Company
Bristol-Myers Squibb Company의 FDA 승인/보완요구 신약 일정은?,BMY,Bristol-Myers Squibb Company
Bristol-Myers Squibb Company의 파이프라인(임상 단계·적응증)을 정리해 줘.,BMY,Bristol-Myers Squibb Company
"Gilead Sciences, Inc.의 매출을 부문별로 설명해 줘.",GILD,"Gilead Sciences, Inc."
"Gilead Sciences, Inc.의 10-K 주요 리스크 3가지를 요약해 줘.",GILD,"Gilead Sciences, Inc."
"Gilead Sciences, Inc.의 ESG 항목에서 강조한 이슈는?",GILD,"Gilead Sciences, Inc."
"Gilead Sciences, Inc.의 의료기기·진단 부문 성과를 요약해 줘.",GILD,"Gilead Sciences, Inc."
"Gilead Sciences, Inc.의 FDA 승인/보완요구 신약 일정은?",GILD,"Gilead Sciences, Inc."
Amgen Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,AMGN,Amgen Inc.
Amgen Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.,AMGN,Amgen Inc.
Amgen Inc.의 현금흐름 추세와 의미를 설명해 줘.,AMGN,Amgen Inc.
Amgen Inc.의 FDA 승인/보완요구 신약 일정은?,AMGN,Amgen Inc.
Amgen Inc.의 의료기기·진단 부문 성과를 요약해 줘.,AMGN,Amgen Inc.
Eli Lilly and Company의 지배구조·이사회 구성과 변화 사항을 알려줘.,LLY,Eli Lilly and Company
Eli Lilly and Company의 주주환원 정책 주요 사항은?,LLY,Eli Lilly and Company
Eli Lilly and Company의 ESG 항목에서 강조한 이슈는?,LLY,Eli Lilly and Company
Eli Lilly and Company의 특허 만료(LOE) 리스크와 대응 전략은?,LLY,Eli Lilly and Company
Eli Lilly and Company의 FDA 승인/보완요구 신약 일정은?,LLY,Eli Lilly and Company
Medtronic plc의 ESG 항목에서 강조한 이슈는?,MDT,Medtronic plc
Medtronic plc의 현금흐름 추세와 의미를 설명해 줘.,MDT,Medtronic plc
Medtronic plc의 지배구조·이사회 구성과 변화 사항을 알려줘.,MDT,Medtronic plc
Medtronic plc의 FDA 승인/보완요구 신약 일정은?,MDT,Medtronic plc
Medtronic plc의 파이프라인(임상 단계·적응증)을 정리해 줘.,MDT,Medtronic plc
"Intuitive Surgical, Inc.의 매출을 부문별로 설명해 줘.",ISRG,"Intuitive Surgical, Inc."
"Intuitive Surgical, Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.",ISRG,"Intuitive Surgical, Inc."
"Intuitive Surgical, Inc.의 현금흐름 추세와 의미를 설명해 줘.",ISRG,"Intuitive Surgical, Inc."
"Intuitive Surgical, Inc.의 R&D 지출 규모와 매출 대비 비중은?",ISRG,"Intuitive Surgical, Inc."
"Intuitive Surgical, Inc.의 특허 만료(LOE) 리스크와 대응 전략은?",ISRG,"Intuitive Surgical, Inc."
CVS Health Corporation의 현금흐름 추세와 의미를 설명해 줘.,CVS,CVS Health Corporation
CVS Health Corporation의 ESG 항목에서 강조한 이슈는?,CVS,CVS Health Corporation
CVS Health Corporation의 매출을 부문별로 설명해 줘.,CVS,CVS Health Corporation
CVS Health Corporation의 파이프라인(임상 단계·적응증)을 정리해 줘.,CVS,CVS Health Corporation
CVS Health Corporation의 의료기기·진단 부문 성과를 요약해 줘.,CVS,CVS Health Corporation
Walmart Inc.의 현금흐름 추세와 의미를 설명해 줘.,WMT,Walmart Inc.
Walmart Inc.의 지배구조·이사회 구성과 변화 사항을 알려줘.,WMT,Walmart Inc.
Walmart Inc.의 10-K 주요 리스크 3가지를 요약해 줘.,WMT,Walmart Inc.
Walmart Inc.의 동일점포매출 추세와 성장 동인은?,WMT,Walmart Inc.
Walmart Inc.의 이커머스·옴니채널 전략 목표는?,WMT,Walmart Inc.
Costco Wholesale Corporation의 비용 구조와 전년 대비 변동 요인을 알려줘.,COST,Costco Wholesale Corporation
Costco Wholesale Corporation의 ESG 항목에서 강조한 이슈는?,COST,Costco Wholesale Corporation
Costco Wholesale Corporation의 주주환원 정책 주요 사항은?,COST,Costco Wholesale Corporation
Costco Wholesale Corporation의 브랜드·마케팅 지출 규모 변화와 ROI는?,COST,Costco Wholesale Corporation
Costco Wholesale Corporation의 이커머스·옴니채널 전략 목표는?,COST,Costco Wholesale Corporation
"The Home Depot, Inc.의 현금흐름 추세와 의미를 설명해 줘.",HD,"The Home Depot, Inc."
"The Home Depot, Inc.의 비용 구조와 전년 대비 변동 요인을 알려줘.",HD,"The Home Depot, Inc."
"The Home Depot, Inc.의 10-K 주요 리스크 3가지를 요약해 줘.",HD,"The Home Depot, Inc."
"The Home Depot, Inc.의 브랜드·마케팅 지출 규모 변화와 ROI는?",HD,"The Home Depot, Inc."
"The Home Depot, Inc.의 이커머스·옴니채널 전략 목표는?",HD,"The Home Depot, Inc."
"Lowe's Companies, Inc.의 ESG 항목에서 강조한 이슈는?",LOW,"Lowe's Companies, Inc."
"Lowe's Companies, Inc.의 매출을 부문별로 설명해 줘.",LOW,"Lowe's Companies, Inc."
"Lowe's Companies, Inc.의 현금흐름 추세와 의미를 설명해 줘.",LOW,"Lowe's Companies, Inc."
"Lowe's Companies, Inc.의 국제 시장 확장 현황과 지역별 성장률은?",LOW,"Lowe's Companies, Inc."
"Lowe's Companies, Inc.의 동일점포매출 추세와 성장 동인은?",LOW,"Lowe's Companies, Inc."
Target Corporation의 매출을 부문별로 설명해 줘.,TGT,Target Corporation
Target Corporation의 지배구조·이사회 구성과 변화 사항을 알려줘.,TGT,Target Corporation
Target Corporation의 주주환원 정책 주요 사항은?,TGT,Target Corporation
Target Corporation의 동일점포매출 추세와 성장 동인은?,TGT,Target Corporation
Target Corporation의 국제 시장 확장 현황과 지역별 성장률은?,TGT,Target Corporation
MCD의 ESG 항목에서 강조한 이슈는?,MCD,MCD
MCD의 비용 구조와 전년 대비 변동 요인을 알려줘.,MCD,MCD
MCD의 지배구조·이사회 구성과 변화 사항을 알려줘.,MCD,MCD
MCD의 브랜드·마케팅 지출 규모 변화와 ROI는?,MCD,MCD
MCD의 국제 시장 확장 현황과 지역별 성장률은?,MCD,MCD
Starbucks Corporation의 현금흐름 추세와 의미를 설명해 줘.,SBUX,Starbucks Corporation
Starbucks Corporation의 비용 구조와 전년 대비 변동 요인을 알려줘.,SBUX,Starbucks Corporation
Starbucks Corporation의 ESG 항목에서 강조한 이슈는?,SBUX,Starbucks Corporation
Starbucks Corporation의 동일점포매출 추세와 성장 동인은?,SBUX,Starbucks Corporation
Starbucks Corporation의 이커머스·옴니채널 전략 목표는?,SBUX,Starbucks Corporation
